Country,IndR_nc,Flag,Sawn_nc,Flag,FuelW,Flag,IndR_c,Flag,Sawn_c,Flag,Ply_Ven,Flag,PartB,Flag,FibreB,Flag,MechP,Flag,ChemP,Flag,OthP,Flag,WasteP,Flag,NewsP,Flag,PWP,Flag,OthP,Flag
Belize,0.45,U,0.13,U,0.09,U,0.45,U,0.06,U,0.31,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0,C,0.07,U,0.07,U
Canada,0,C,0,C,0,C,0,C,0,C,0,C,0.01,U,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Saint Lucia,0.07,C,0.13,U,0.1,U,0.07,C,0.08,U,0.08,U,0.05,C,0.05,C,0.05,C,0.05,C,0.05,C,0.05,C,0,C,0.02,U,0.04,U
Costa Rica,0,C,0.05,U,0,C,0,C,0.05,U,0.05,U,0.09,U,0.09,U,0,C,0,C,0,C,0,C,0.03,U,0.03,U,0.06,U
Cuba,0.04,U,0.05,U,0.05,U,0.04,U,0,C,0.05,U,0.05,U,0.05,U,0,C,0,C,0,C,0,C,0.05,U,0.04,U,0.05,U
Dominica,0.07,U,0.13,U,0.09,U,0.07,U,0.05,U,0.07,U,0.05,U,0.05,U,0,C,0,C,0,C,0,C,0,C,0.06,U,0.07,U
Dominican Republic,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0.02,U,0.05,U
El Salvador,0,C,0.05,U,0,C,0,C,0.05,U,0.1,U,0.08,U,0.08,U,0,C,0,C,0,C,0,C,0.03,U,0.03,U,0.07,U
Guatemala,0,C,0.05,U,0,C,0,C,0.05,U,0.1,U,0.1,U,0.1,U,0,C,0,C,0,C,0,C,0.03,U,0.03,U,0.06,U
Haiti,0.03,U,0.01,U,0.03,U,0.03,U,0.04,U,0.04,U,0.18,U,0.02,U,0,C,0,C,0,C,0,C,0,C,0,C,0.05,U
Honduras,0,C,0.05,U,0,C,0,C,0.05,U,0.1,U,0.1,U,0.1,U,0,C,0,C,0,C,0,C,0.03,U,0.03,U,0.06,U
Jamaica,0.05,U,0.12,U,0.08,U,0.05,U,0.05,U,0.07,U,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0.04,U,0.04,U
Martinique,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Mexico,0,C,0.01,U,0,C,0,C,0.03,U,0.07,U,0.14,C,0.04,U,0,C,0,C,0,C,0,C,0.05,C,0.05,U,0.01,U
Netherlands Antilles,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Nicaragua,0,C,0.05,C,0,C,0,C,0.05,C,0.1,C,0.08,C,0.08,C,0,C,0,C,0,C,0,C,0.03,U,0.03,U,0.06,U
Panama,0,C,0.05,U,0,U,0,C,0.04,U,0.05,U,0.06,U,0.06,U,0,C,0,U,0.01,U,0,C,0.05,U,0.08,U,0.08,U
Saint Vincent/Grenadines,0.07,U,0.13,U,0.09,C,0.07,U,0.05,U,0.08,U,0.05,C,0.05,C,0.05,C,0.05,C,0.05,C,0.05,C,0,C,0.08,U,0.08,U
Trinidad and Tobago,0.04,C,0.12,U,0.08,U,0.04,C,0.05,U,0.07,U,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0.02,C,0.04,U
United States of America,0,C,0,C,0,C,0,C,0,C,0.03,U,0,C,0.01,U,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Argentina,0.02,U,0.06,U,0.02,U,0.02,U,0.06,U,0.1,U,0.11,U,0.12,U,0.04,U,0.04,U,0.04,U,0.02,U,0.11,U,0.12,U,0.13,U
Bolivia,0.08,U,0.1,U,0.07,U,0.08,U,0.08,U,0.14,U,0.14,U,0.13,U,0.05,U,0.05,U,0.05,U,0.06,U,0.05,U,0.1,U,0.11,U
Brazil,0,C,0.05,U,0,C,0,C,0.05,U,0.08,U,0.08,U,0.08,U,0.03,U,0.03,U,0.03,U,0,C,0.09,U,0.1,U,0.11,U
Chile,0,C,0.06,U,0.06,U,0,C,0.06,U,0.06,U,0.06,U,0.06,U,0.06,U,0.06,U,0.06,U,0.06,U,0.06,U,0.06,U,0.06,U
Colombia,0.06,U,0,C,0.04,U,0.06,U,0,C,0.08,U,0.05,U,0.05,U,0,C,0.03,U,0.01,U,0,C,0,C,0.04,U,0.04,U
Ecuador,0.05,U,0.1,U,0.12,U,0.05,U,0.1,U,0.15,U,0.15,U,0.13,U,0.05,U,0.02,U,0.02,U,0.04,U,0,C,0.05,U,0.14,U
French Guiana,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Guyana,0.07,U,0.13,U,0.09,U,0.07,U,0.09,U,0.09,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0,C,0.06,U,0.08,U
Paraguay,0.02,C,0.06,C,0.02,C,0.02,C,0.06,C,0.1,C,0.1,C,0.1,C,0.04,C,0.04,C,0.04,C,0.02,C,0.11,C,0.12,C,0.13,U
Peru,0.06,C,0,U,0.05,C,0,C,0,U,0.06,C,0.06,C,0.06,C,0,U,0,U,0,U,0,C,0,C,0.04,U,0.03,U
Suriname,0.07,C,0.13,U,0.09,C,0.07,C,0.05,U,0.08,U,0.05,C,0.05,C,0.05,C,0.05,C,0.05,C,0.05,C,0,C,0.05,C,0.08,U
